"","nbMfl","nbFruit","subsample_dry_mass"
"1",NA,NA,NA
"2",65,26,0.455
"3",930,9,0.373
"4",390,19,0.444
"5",114,19,0.389
"6",0,25,0.227
"7",90,8,0.19
"8",90,50,0.394
"9",135,20,0.341
"10",230,9,0.239
"11",185,46,0.416
"12",220,50,0.454
"13",320,3,0.259
"14",270,3,0.327
"15",135,20,0.49
"16",315,12,0.47
"17",245,9,0.288
"18",55,25,0.192
"19",325,20,0.465
"20",55,38,0.297
"21",425,0,0.508
"22",160,27,0.395
"23",260,0,0.185
"24",30,26,0.263
"25",30,48,0.343
"26",145,17,0.297
"27",5,32,0.215
"28",40,49,0.255
"29",200,14,0.451
"30",380,4,0.371
"31",27,63,0.613
"32",37,29,0.368
"33",440,16,0.474
"34",80,43,0.477
"35",600,1,0.38
"36",492,14,0.355
"37",142,44,0.428
"38",416,13,0.402
"39",185,20,0.332
"40",1,24,0.144
"41",10,47,0.375
"42",93,18,0.145
"43",440,9,0.283
"44",19,22,0.292
"45",400,0,0.47
"46",16,24,0.294
"47",400,21,0.414
"48",290,58,0.547
"49",37,35,0.273
"50",380,13,0.29
"51",114,24,0.328
"52",35,27,0.327
"53",205,1,0.12
"54",110,21,0.266
"55",87,41,0.507
"56",357,6,0.318
"57",104,34,0.385
"58",28,20,0.227
"59",34,18,0.22
"60",176,14,0.495
"61",86,42,0.518
"62",260,10,0.282
"63",265,11,0.448
"64",550,0,0.289
"65",90,41,0.448
"66",120,17,0.234
"67",361,41,0.417
"68",294,21,0.423
"69",21,33,0.343
"70",313,17,0.533
"71",34,21,0.245
"72",63,20,0.25
"73",84,11,0.131
"74",376,4,0.355
"75",258,14,0.388
"76",277,16,0.36
"77",328,18,0.563
"78",237,12,0.442
"79",506,0,0.47
"80",24,39,0.291
"81",76,37,0.408
"82",101,47,0.384
"83",41,15,0.173
"84",564,1,0.561
"85",127,32,0.383
"86",29,73,0.36
"87",95,49,0.476
"88",10,41,0.232
"89",92,32,0.238
"90",365,20,0.322
"91",19,19,0.119
"92",63,59,0.424
"93",305,2,0.285
"94",258,19,0.428
"95",44,47,0.479
"96",407,0,0.345
"97",110,29,0.353
"98",890,0,0.723
"99",46,16,0.143
"100",124,30,0.478
"101",20,27,0.213
"102",84,45,0.372
"103",443,14,0.469
"104",342,6,0.281
"105",204,12,0.312
"106",18,32,0.337
"107",51,23,0.276
"108",437,9,0.483
"109",85,19,0.336
"110",56,31,0.229
"111",27,48,0.516
"112",52,17,0.282
"113",0,11,0.091
"114",0,30,0.221
"115",428,29,0.616
"116",217,3,0.249
"117",72,64,0.459
"118",405,0,0.214
"119",32,23,0.322
"120",23,50,0.34
"121",41,50,0.346
"122",46,19,0.195
"123",0,0,0.148
"124",500,0,0.342
"125",65,25,0.379
"126",102,45,0.492
"127",59,40,0.288
"128",113,63,0.513
"129",149,45,0.499
"130",178,19,0.472
"131",3,64,0.238
"132",121,45,0.362
"133",147,19,0.179
"134",0,67,0.317
"135",95,66,0.512
"136",NA,NA,0.074
"137",512,0,0.508
"138",334,17,0.311
"139",22,23,0.25
"140",240,41,0.467
"141",120,16,0.373
"142",125,0,0.465
"143",65,31,0.319
"144",50,51,0.452
"145",25,29,0.264
"146",110,12,0.142
"147",250,8,0.291
"148",260,17,0.309
"149",31,48,0.354
"150",160,34,0.302
"151",41,33,0.321
"152",82,32,0.377
"153",280,10,0.399
"154",395,26,0.556
"155",18,22,0.249
"156",32,31,0.345
"157",260,20,0.362
"158",13,9,0.138
"159",80,67,0.673
"160",10,32,0.323
"161",430,0,0.459
"162",470,9,0.38
"163",140,16,0.287
"164",39,50,0.515
"165",290,8,0.466
"166",5,33,0.303
"167",30,70,0.48
"168",140,39,0.428
"169",180,16,0.309
"170",7,5,0.082
"171",36,32,0.338
"172",260,8,0.343
"173",55,15,0.146
"174",249,1,0.257
"175",51,11,0.114
"176",156,9,0.291
"177",87,50,0.516
"178",89,25,0.209
"179",26,11,0.103
"180",172,40,0.445
"181",117,14,0.189
"182",234,27,0.378
"183",258,16,0.431
"184",8,35,0.629
"185",281,31,0.461
"186",337,27,0.53
"187",624,3,0.46
"188",15,26,0.255
"189",83,56,0.528
"190",103,34,0.43
"191",233,19,0.347
"192",85,31,0.277
"193",100,24,0.297
"194",369,1,0.373
"195",19,45,0.392
"196",1,23,0.144
"197",349,10,0.439
"198",82,16,1.748
"199",140,23,0.247
"200",12,32,0.361
"201",225,30,0.4391
"202",126,46,0.508
"203",48,45,0.39
"204",239,19,0.242
"205",60,24,0.246
"206",137,30,0.345
"207",232,2,0.23
"208",50,33,0.473
"209",372,35,0.491
"210",146,40,0.584
